search_query,job_title,company_name,job_url,sorted_by_model
Machine Learning Germn,Sr. Software Development Engineer - C++ for 3D/Computer Vision (m/f/d),Esri,https://de.linkedin.com/jobs/view/sr-software-development-engineer-c%2B%2B-for-3d-computer-vision-m-f-d-at-esri-4417023549,gemini/gemini-2.5-flash
Machine Learning Germn,Senior Data Scientist (m/w/d) mit Fokus AI,Skalar,https://de.linkedin.com/jobs/view/senior-data-scientist-m-w-d-mit-fokus-ai-at-skalar-4423156208,gemini/gemini-2.5-flash
Machine Learning Germn,Senior Software Engineer (AI Product) (m/w/d),MONDAY.ROCKS GmbH,https://de.linkedin.com/jobs/view/senior-software-engineer-ai-product-m-w-d-at-monday-rocks-gmbh-4421963276,gemini/gemini-2.5-flash
Machine Learning Germn,Senior AI/ML Engineer - BCN/MAD/Munich,AILY LABS,https://de.linkedin.com/jobs/view/senior-ai-ml-engineer-bcn-mad-munich-at-aily-labs-4427051052,gemini/gemini-2.5-flash
Machine Learning Germn,(Senior) ML Research Engineer (m/f/d) Robotics,Agile Robots SE,https://de.linkedin.com/jobs/view/senior-ml-research-engineer-m-f-d-robotics-at-agile-robots-se-4379834560,gemini/gemini-2.5-flash
Machine Learning Germn,(Senior) ML Research Engineer (m/f/d) Robotics,Agile Robots SE,https://de.linkedin.com/jobs/view/senior-ml-research-engineer-m-f-d-robotics-at-agile-robots-se-4388457646,gemini/gemini-2.5-flash
Machine Learning Germn,"Senior / Lead Machine Learning Engineer, Serving",Inworld AI,https://de.linkedin.com/jobs/view/senior-lead-machine-learning-engineer-serving-at-inworld-ai-4397623827,gemini/gemini-2.5-flash
Machine Learning Germn,Senior Machine Learning Engineer (all genders),Zalando,https://de.linkedin.com/jobs/view/senior-machine-learning-engineer-all-genders-at-zalando-4427023454,gemini/gemini-2.5-flash
Machine Learning Germn,Lead AI/ML Engineer - BCN/MAD/Munich,AILY LABS,https://de.linkedin.com/jobs/view/lead-ai-ml-engineer-bcn-mad-munich-at-aily-labs-4427039699,gemini/gemini-2.5-flash
Machine Learning Germn,Lead Data Scientist,Envalior,https://de.linkedin.com/jobs/view/lead-data-scientist-at-envalior-4426062320,gemini/gemini-2.5-flash
